Month,Year,Region,Country,Product,Units_Sold,Revenue
Jan,2020,EMEA,United Kingdom,LocoTrack HGD4,1200,120000
Jan,2020,EMEA,United Kingdom,LocoTrack HGR4,1000,100000
Jan,2020,EMEA,United Kingdom,LocoTrack HGP4,1000,100000
Jan,2020,EMEA,United Kingdom,LocoTrack HFR4,1000,100000
Jan,2020,EMEA,United Kingdom,LocoTag P4P,100,10000
Jan,2020,EMEA,Germany,LocoTrack HGD4,1200,120000
Jan,2020,EMEA,Germany,LocoTrack HGR4,1000,100000
Jan,2020,EMEA,Germany,LocoTrack HGP4,1000,100000
Jan,2020,EMEA,Germany,LocoTrack HFR4,1000,100000
Jan,2020,EMEA,Germany,LocoTag P4P,100,10000
Jan,2020,EMEA,France,LocoTrack HGD4,1200,120000
Jan,2020,EMEA,France,LocoTrack HGR4,1000,100000
Jan,2020,EMEA,France,LocoTrack HGP4,1000,100000
Jan,2020,EMEA,France,LocoTrack HFR4,1000,100000
Jan,2020,EMEA,France,LocoTag P4P,100,10000
Jan,2020,APAC,Japan,LocoTrack HGD4,960,96000
Jan,2020,APAC,Japan,LocoTrack HGR4,800,80000
Jan,2020,APAC,Japan,LocoTrack HGP4,800,80000
Jan,2020,APAC,Japan,LocoTrack HFR4,800,80000
Jan,2020,APAC,Japan,LocoTag P4P,80,8000
Jan,2020,APAC,Australia,LocoTrack HGD4,960,96000
Jan,2020,APAC,Australia,LocoTrack HGR4,800,80000
Jan,2020,APAC,Australia,LocoTrack HGP4,800,80000
Jan,2020,APAC,Australia,LocoTrack HFR4,800,80000
Jan,2020,APAC,Australia,LocoTag P4P,80,8000
Jan,2020,APAC,Singapore,LocoTrack HGD4,960,96000
Jan,2020,APAC,Singapore,LocoTrack HGR4,800,80000
Jan,2020,APAC,Singapore,LocoTrack HGP4,800,80000
Jan,2020,APAC,Singapore,LocoTrack HFR4,800,80000
Jan,2020,APAC,Singapore,LocoTag P4P,80,8000
Jan,2020,AMAR,United States,LocoTrack HGD4,1080,108000
